file_name,full_transcript,locality_canonical,language_mix,condition,speaker_notes
01_koramangala_quiet.mp3,"Haan main Koramangala mein rehta hoon",Koramangala,hinglish,quiet,"clear, normal pace"
02_indiranagar_quiet.mp3,"Main Indiranagar side rehta hoon",Indiranagar,hinglish,quiet,"Clear normal pace"
03_whitefield_quiet.mp3,"Main Whitefield ke paas room leke rehta hoon",Whitefield,hinglish,quiet,"slightly fast speech"
04_electroniccity_fast.mp3,"Electronic City se bol raha hoon",Electronic City,hinglish,fast,"rushed speech"
05_marathahalli_quiet.mp3,"Meri job Marathahalli mein hai",Marathahalli,hinglish,quiet,"normal conversational tone"
06_hsrlayout_fan.mp3,"Roz HSR Layout travel karna padta hai",HSR Layout,hinglish,fan_noise,"fan running"
07_btmlayout_noise.mp3,"BTM Layout mein interview dene gaya tha",BTM Layout,hinglish,background_noise,"TV noise"
08_bellandur_tv.mp3,"Office Bellandur side padta hai",Bellandur,hinglish,tv_noise,"television audible"
09_silkboard_traffic.mp3,"Silk Board ke traffic mein phasa hua hoon",Silk Board,hinglish,traffic,"outdoor traffic bus honking"
10_hebbal_outdoor.mp3,"Hebbal se airport ja raha tha",Hebbal,hinglish,outdoor,"street ambience"
11_krpuram_outdoor.mp3,"KR Puram cross kar liya maine",KR Puram,hinglish,outdoor,"moving vehicles nearby"
12_yelahanka_whisper.mp3,"Yelahanka side ek room dekh raha hoon",Yelahanka,hinglish,whisper,"low volume"
13_banashankari_whisper.mp3,"Haan sir main Banashankari se bol raha hoon",Banashankari,hinglish,whisper,"soft speech"
14_peenya_phone.mp3,"Peenya industrial area mein kaam karta hoon",Peenya,hinglish,phone_style,"phone-call style speech"
15_majestic_phone.mp3,"Main abhi Majestic aa raha hoon",Majestic,hinglish,phone_style,"casual speaking"
16_sarjapur_fast.mp3,"Main Sarjapur road side rehta hoon",Sarjapur,hinglish,fast,"quick delivery"
17_yeshwanthpur_fast.mp3,"Yeshwanthpur station ke paas hoon",Yeshwanthpur,hinglish,fast,"slightly unclear pronunciation"
18_thanisandra_normal.mp3,"Thanisandra mein delivery ka kaam karta hoon",Thanisandra,hinglish,normal,"steady pace"
19_rajarajeshwarinagar_normal.mp3,"Rajarajeshwarinagar mein mera permanent address hai",Rajarajeshwarinagar,hinglish,normal,"long locality name"
20_kengeriupanagara_normal.mp3,"Kengeri Upanagara side aana padega",Kengeri Upanagara,hinglish,normal,"moderate pace"
